"Player","Team","Points","Cost"
"Rak-Sakyi","Crystal Palace",0,"£4.5"
"André Gomes","Everton",0,"£4.5"
"Gbamin","Everton",0,"£4.5"
"Reed","Fulham",44,"£4.5"
"Shackleton","Leeds",0,"£4.5"
"Bate","Leeds",0,"£4.5"
"Choudhury","Leicester",0,"£4.5"
"McAtee","Manchester City",0,"£4.5"
"Lavia","Southampton",13,"£4.5"
"Hendrick","Newcastle",0,"£4.5"
"Ojeda","Nottingham Forest",0,"£4.5"
"Smallbone","Southampton",0,"£4.5"
"Gray","Leeds",0,"£4.5"
"Garner","Everton",5,"£4.5"
"Kouyaté","Nottingham Forest",24,"£4.5"
"Clark","Liverpool",1,"£4.5"
"Gomes","Manchester City",0,"£4.5"
"Knight","Manchester City",0,"£4.5"
"Rodney","Crystal Palace",0,"£4.5"
"Phillips","Crystal Palace",0,"£4.5"
"Vale","Chelsea",0,"£4.5"
"Smith","Arsenal",0,"£4.5"
"Traoré","Wolves",11,"£4.5"
"Nwaneri","Arsenal",1,"£4.5"
"Trevitt","Brentford",0,"£4.5"
"Braybrooke","Leicester",0,"£4.5"
"Godo","Fulham",0,"£4.5"
"Mainoo","Manchester Utd",0,"£4.5"
"Payne","Southampton",0,"£4.5"
"Finnigan","Southampton",0,"£4.5"
"Yarmolyuk","Brentford",0,"£4.5"
"Moran","Brighton",0,"£4.5"
"Hutchinson","Chelsea",0,"£4.5"
"Wells-Morrison","Crystal Palace",0,"£4.5"
"Griffiths","Wolves",0,"£4.5"
"Hall","Chelsea",0,"£4.5"
"Pearson","Bournemouth",6,"£4.4"
"Alzate","Brighton",0,"£4.4"
"Moder","Brighton",0,"£4.4"
"Chalobah","Fulham",0,"£4.4"
"Forshaw","Leeds",3,"£4.4"
"Summerville","Leeds",33,"£4.4"
"Soumaré","Leicester",18,"£4.4"
"Milner","Liverpool",19,"£4.4"
"S.Longstaff","Newcastle",39,"£4.4"
"Winks","Tottenham",0,"£4.4"
"White","Tottenham",0,"£4.4"
"Cundle","Wolves",0,"£4.4"
"Francois","Fulham",1,"£4.4"
"Harris","Fulham",2,"£4.4"
"Amad","Manchester Utd",0,"£4.4"
"Anderson","Newcastle",7,"£4.4"
"Coventry","West Ham",1,"£4.4"
"Mills","Everton",0,"£4.4"
"Warrington","Everton",0,"£4.4"
"Bajcetic","Liverpool",1,"£4.4"
"Hodge","Wolves",2,"£4.4"
"Ronan","Wolves",1,"£4.4"
"Campbell","Wolves",5,"£4.4"
"Oko-Flex","West Ham",0,"£4.4"
"Sambi","Arsenal",8,"£4.3"
"Sanson","Aston Villa",1,"£4.3"
"Nakamba","Aston Villa",0,"£4.3"
"Chukwuemeka","Chelsea",3,"£4.3"
"Gilmour","Brighton",4,"£4.3"
"Milivojevic","Crystal Palace",12,"£4.3"
