Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes,Player-additional
32,Ivan Perišić,hr CRO,DFMF,Tottenham,33,£ 180000 (€ 207425 $203815),£ 9360000 (€ 10786087 $10598363),,6fe90922
33,Fabinho,br BRA,MF,Liverpool,28,£ 180000 (€ 207425 $203815),£ 9360000 (€ 10786087 $10598363),,7f3b388c
34,Roberto Firmino,br BRA,FWMF,Liverpool,30,£ 180000 (€ 207425 $203815),£ 9360000 (€ 10786087 $10598363),,4c370d81
35,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,£ 180000 (€ 207425 $203815),£ 9360000 (€ 10786087 $10598363),,cd1acf9d
36,Manuel Akanji,ch SUI,DF,Manchester City,27,£ 180000 (€ 207425 $203815),£ 9360000 (€ 10786087 $10598363),,89ac64a6
37,Rúben Dias,pt POR,DF,Manchester City,25,£ 180000 (€ 207425 $203815),£ 9360000 (€ 10786087 $10598363),,31c69ef1
38,César Azpilicueta,es ESP,DF,Chelsea,32,£ 180000 (€ 207425 $203815),£ 9360000 (€ 10786087 $10598363),,53cad200
39,Marc Cucurella,es ESP,DF,Chelsea,24,£ 175000 (€ 201663 $198153),£ 9100000 (€ 10486473 $10303964),,1daec722
40,Cristian Romero,ar ARG,DF,Tottenham,24,£ 165000 (€ 190139 $186830),£ 8580000 (€ 9887246 $9715166),,a3d94a58
41,Lucas Digne,fr FRA,DF,Aston Villa,29,£ 160000 (€ 184378 $181169),£ 8320000 (€ 9587633 $9420767),,1b84dbe1
42,Kyle Walker,eng ENG,DF,Manchester City,32,£ 160000 (€ 184378 $181169),£ 8320000 (€ 9587633 $9420767),,86dd77d1
43,Riyad Mahrez,dz ALG,MFFW,Manchester City,31,£ 160000 (€ 184378 $181169),£ 8320000 (€ 9587633 $9420767),,892d5bb1
44,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,£ 160000 (€ 184378 $181169),£ 8320000 (€ 9587633 $9420767),,d5dd5f1f
45,Oleksandr Zinchenko,ua UKR,DF,Arsenal,25,£ 150000 (€ 172854 $169846),£ 7800000 (€ 8988406 $8831969),,51cf8561
46,Christian Eriksen,dk DEN,MF,Manchester Utd,30,£ 150000 (€ 172854 $169846),£ 7800000 (€ 8988406 $8831969),,980522ec
47,Luke Shaw,eng ENG,DF,Manchester Utd,27,£ 150000 (€ 172854 $169846),£ 7800000 (€ 8988406 $8831969),,9c94165b
48,Lucas Paquetá,br BRA,MFFW,West Ham,24,£ 150000 (€ 172854 $169846),£ 7800000 (€ 8988406 $8831969),,9b6f7fd5
49,Alisson,br BRA,GK,Liverpool,29,£ 150000 (€ 172854 $169846),£ 7800000 (€ 8988406 $8831969),,7a2e46a8
50,Boubacar Kamara,fr FRA,MF,Aston Villa,22,£ 150000 (€ 172854 $169846),£ 7800000 (€ 8988406 $8831969),,cc77354e
51,Bernardo Silva,pt POR,MFFW,Manchester City,27,£ 150000 (€ 172854 $169846),£ 7800000 (€ 8988406 $8831969),,3eb22ec9
52,Kalvin Phillips,eng ENG,MF,Manchester City,26,£ 150000 (€ 172854 $169846),£ 7800000 (€ 8988406 $8831969),,4f565d77
53,Christian Pulisic,us USA,DFFW,Chelsea,23,£ 150000 (€ 172854 $169846),£ 7800000 (€ 8988406 $8831969),,1bf33a9a
54,Kai Havertz,de GER,FWMF,Chelsea,23,£ 150000 (€ 172854 $169846),£ 7800000 (€ 8988406 $8831969),,fed7cb61
55,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,£ 150000 (€ 172854 $169846),£ 7800000 (€ 8988406 $8831969),,28d596a0
56,Clément Lenglet,fr FRA,DF,Tottenham,27,£ 145000 (€ 167092 $164184),£ 7540000 (€ 8688792 $8537570),Unverified estimation,4f28a6ff
57,Darwin Núñez,uy URU,FW,Liverpool,23,£ 140000 (€ 161330 $158523),£ 7280000 (€ 8389179 $8243171),,4d77b365
58,Diogo Jota,pt POR,FWMF,Liverpool,25,£ 140000 (€ 161330 $158523),£ 7280000 (€ 8389179 $8243171),,178ae8f8
59,Jordan Henderson,eng ENG,MF,Liverpool,32,£ 140000 (€ 161330 $158523),£ 7280000 (€ 8389179 $8243171),,935e6b8f
60,Jamie Vardy,eng ENG,FW,Leicester City,35,£ 140000 (€ 161330 $158523),£ 7280000 (€ 8389179 $8243171),,45963054
61,İlkay Gündoğan,de GER,MF,Manchester City,31,£ 140000 (€ 161330 $158523),£ 7280000 (€ 8389179 $8243171),,819b3158
62,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,29,£ 130000 (€ 149807 $147199),£ 6760000 (€ 7789952 $7654373),,b2bc3b1f
63,Kurt Zouma,fr FRA,DF,West Ham,27,£ 125000 (€ 144045 $141538),£ 6500000 (€ 7490338 $7359974),,ce4246f5
64,Philippe Coutinho,br BRA,MFFW,Aston Villa,30,£ 125000 (€ 144045 $141538),£ 6500000 (€ 7490338 $7359974),,0ef89a37
65,Ben White,eng ENG,DF,Arsenal,24,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,35e413f1
66,Granit Xhaka,ch SUI,MF,Arsenal,29,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),Unverified estimation,e61b8aee
67,Donny van de Beek,nl NED,MF,Manchester Utd,25,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,50dc94ce
68,Fred,br BRA,MF,Manchester Utd,29,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,b853e0ad
69,Lisandro Martínez,ar ARG,DF,Manchester Utd,24,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,bac46a10
70,Victor Lindelöf,se SWE,DF,Manchester Utd,28,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,f5deef4c
71,Alphonse Areola,fr FRA,GK,West Ham,29,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,2f965a72
72,Alex Oxlade-Chamberlain,eng ENG,FW,Liverpool,28,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,38c7feef
73,Naby Keïta,gn GUI,CM,Liverpool,27,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,f25c8e3a
74,Danny Ings,eng ENG,FW,Aston Villa,30,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,07802f7f
75,Emiliano Martínez,ar ARG,GK,Aston Villa,29,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,7956236f
76,Alexander Isak,se SWE,FW,Newcastle Utd,22,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,8e92be30
77,Bruno Guimarães,br BRA,MF,Newcastle Utd,24,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,82518f62
78,Aymeric Laporte,es ESP,DF,Manchester City,28,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,119b9a8e
79,Ruben Loftus-Cheek,eng ENG,MF,Chelsea,26,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,e97fd090
80,Abdoulaye Doucouré,ml MLI,MF,Everton,29,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,02b29014
81,Alex Iwobi,ng NGA,MF,Everton,26,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,6ca5ec4b
82,Yerry Mina,co COL,DF,Everton,27,£ 120000 (€ 138283 $135876),£ 6240000 (€ 7190725 $7065575),,6d5701f2
83,Martin Ødegaard,no NOR,MF,Arsenal,23,£ 115000 (€ 132521 $130215),£ 5980000 (€ 6891111 $6771176),,79300479
84,Kieran Tierney,sct SCO,DF,Arsenal,25,£ 110000 (€ 126760 $124553),£ 5720000 (€ 6591497 $6476777),,fce2302c
85,Dejan Kulusevski,se SWE,MFDF,Tottenham,22,£ 110000 (€ 126760 $124553),£ 5720000 (€ 6591497 $6476777),,df3cda47
